title,category,city,address,contact,description,price,source,source_url,image
"ALIMENTACION Y BEBIDAS BEMBIBRE 24","生意","Fuenlabrada","C/ Bembibre, 24, Poligono Cobo Calleja, 28947 Fuenlabrada, Madrid","电话: 688500860","平台代登记商家信息，商家待认领。公开目录显示为 Cobo Calleja 食品饮料批发/分销商，适合超市、百元店和餐饮商家对接货源。资料来自 mayoristaspoligonocobocalleja.es 公开目录页面。","面议","mayoristaspoligonocobocalleja.es food directory","https://mayoristaspoligonocobocalleja.es/mayoristas-de-alimentacion-y-supermercados/","https://images.unsplash.com/photo-1542838132-92c53300491e?auto=format&fit=crop&w=900&q=82"
"SUPERMERCADOS WENZHOU","生意","Fuenlabrada","C/ Rio Ebro, 13-B, Poligono Cobo Calleja, 28947 Fuenlabrada, Madrid","电话: 916420671；网站: https://wenzhousupermercados.com/","平台代登记商家信息，商家待认领。公开目录显示为 Cobo Calleja 亚洲食品/中国超市及食品批发相关商家，适合餐饮、超市和百元店补货。资料来自 mayoristaspoligonocobocalleja.es 公开目录页面。","面议","mayoristaspoligonocobocalleja.es food directory","https://mayoristaspoligonocobocalleja.es/mayoristas-de-alimentacion-y-supermercados/","https://images.unsplash.com/photo-1550989460-0adf9ea622e2?auto=format&fit=crop&w=900&q=82"
"SUPERMERCADOS ASIA","生意","Fuenlabrada","C/ Leon, 2, Poligono Cobo Calleja, 28947 Fuenlabrada, Madrid","电话: 915776566","平台代登记商家信息，商家待认领。公开目录显示为 Cobo Calleja 亚洲食品/中国超市相关商家，适合餐饮、超市和批发采购。资料来自 mayoristaspoligonocobocalleja.es 公开目录页面。","面议","mayoristaspoligonocobocalleja.es food directory","https://mayoristaspoligonocobocalleja.es/mayoristas-de-alimentacion-y-supermercados/","https://images.unsplash.com/photo-1604719312566-8912e9227c6a?auto=format&fit=crop&w=900&q=82"
"YOUCO FRESH FRUTAS Y VERDURAS","生意","Fuenlabrada","C/ Murias, 24, Poligono Cobo Calleja, 28947 Fuenlabrada, Madrid","电话: 658278278","平台代登记商家信息，商家待认领。公开目录显示为 Cobo Calleja 蔬果及亚洲食品供应商，适合餐馆、超市和食品批发采购。资料来自 mayoristaspoligonocobocalleja.es 公开目录页面。","面议","mayoristaspoligonocobocalleja.es food directory","https://mayoristaspoligonocobocalleja.es/mayoristas-de-alimentacion-y-supermercados/","https://images.unsplash.com/photo-1542838132-92c53300491e?auto=format&fit=crop&w=900&q=82"
"BODEGA BOJER VINOS Y TE CHINO","生意","Fuenlabrada","C/ Toreno, 28, Poligono Cobo Calleja, 28947 Fuenlabrada, Madrid","电话: 619258385","平台代登记商家信息，商家待认领。公开目录显示经营西班牙葡萄酒和中国茶，适合餐饮、礼品和食品零售商家对接。资料来自 mayoristaspoligonocobocalleja.es 公开目录页面。","面议","mayoristaspoligonocobocalleja.es food directory","https://mayoristaspoligonocobocalleja.es/mayoristas-de-alimentacion-y-supermercados/","https://images.unsplash.com/photo-1523906630133-f6934a1ab2b9?auto=format&fit=crop&w=900&q=82"
"MARISCAL DISTRIBUCIONES ALIMENTARIAS S.L.","生意","Fuenlabrada","C/ Fabero, 21, Poligono Cobo Calleja, 28947 Fuenlabrada, Madrid","电话: 667687021 / 916423187","平台代登记商家信息，商家待认领。公开目录显示为 Cobo Calleja 食品分销/批发商，适合食品店、餐馆和超市采购。资料来自 mayoristaspoligonocobocalleja.es 公开目录页面。","面议","mayoristaspoligonocobocalleja.es food directory","https://mayoristaspoligonocobocalleja.es/mayoristas-de-alimentacion-y-supermercados/","https://images.unsplash.com/photo-1586528116311-ad8dd3c8310d?auto=format&fit=crop&w=900&q=82"
"ALIMENTACION Y BEBIDAS XINLONG 2015 S.L.","生意","Fuenlabrada","C/ Fabero, 25, Poligono Cobo Calleja, 28947 Fuenlabrada, Madrid","电话: 914219333","平台代登记商家信息，商家待认领。公开目录显示为 Cobo Calleja 食品饮料批发/分销商，适合超市、餐饮和仓库采购。资料来自 mayoristaspoligonocobocalleja.es 公开目录页面。","面议","mayoristaspoligonocobocalleja.es food directory","https://mayoristaspoligonocobocalleja.es/mayoristas-de-alimentacion-y-supermercados/","https://images.unsplash.com/photo-1578916171728-46686eac8d58?auto=format&fit=crop&w=900&q=82"
"BEBIDRINK CASH & CARRY S.L.","生意","Fuenlabrada","C/ Toreno, 24, Poligono Cobo Calleja, 28947 Fuenlabrada, Madrid","电话: 917020268 / 659297110","平台代登记商家信息，商家待认领。公开目录显示为 Cobo Calleja 食品饮料 Cash & Carry 供应商，适合餐馆、酒吧和食品零售采购。资料来自 mayoristaspoligonocobocalleja.es 公开目录页面。","面议","mayoristaspoligonocobocalleja.es food directory","https://mayoristaspoligonocobocalleja.es/mayoristas-de-alimentacion-y-supermercados/","https://images.unsplash.com/photo-1515706886582-54c73c5eaf41?auto=format&fit=crop&w=900&q=82"
"COBO SUPERMARKET","生意","Fuenlabrada","C/ Valdeon, 42, Poligono Cobo Calleja, 28947 Fuenlabrada, Madrid","电话: 914682580；网站: https://cobosupermarket.shop/es/","平台代登记商家信息，商家待认领。公开目录显示为 Cobo Calleja 亚洲食品/中国超市及食品采购点，适合餐饮和商超补货。资料来自 mayoristaspoligonocobocalleja.es 公开目录页面。","面议","mayoristaspoligonocobocalleja.es food directory","https://mayoristaspoligonocobocalleja.es/mayoristas-de-alimentacion-y-supermercados/","https://images.unsplash.com/photo-1542838132-92c53300491e?auto=format&fit=crop&w=900&q=82"
"9-CASH SUPERMERCADO","生意","Fuenlabrada","C/ Leon, 5, Poligono Cobo Calleja, 28947 Fuenlabrada, Madrid","电话: 914730195；网站: https://9-cash.com/","平台代登记商家信息，商家待认领。公开目录显示为 Cobo Calleja 亚洲食品/中国超市相关商家，适合商超、餐饮和批发采购。资料来自 mayoristaspoligonocobocalleja.es 公开目录页面。","面议","mayoristaspoligonocobocalleja.es food directory","https://mayoristaspoligonocobocalleja.es/mayoristas-de-alimentacion-y-supermercados/","https://images.unsplash.com/photo-1550989460-0adf9ea622e2?auto=format&fit=crop&w=900&q=82"
