title,category,city,address,contact,description,price
"马德里华夏集团餐饮设备","生意","Madrid","","请商家认领后补充联系方式","平台代登记商家信息，商家待认领。服务范围：马德里华夏集团餐饮设备。具体联系方式、营业时间和详细介绍请商家认领后补充。","面议"
"马德里专业空调安装清洗维修","服务","Madrid","","请商家认领后补充联系方式","平台代登记商家信息，商家待认领。服务范围：马德里专业空调安装清洗维修。具体联系方式、营业时间和详细介绍请商家认领后补充。","面议"
"中国集运转运到西班牙服务","服务","Madrid","","请商家认领后补充联系方式","平台代登记商家信息，商家待认领。服务范围：中国集运转运到西班牙服务。具体联系方式、营业时间和详细介绍请商家认领后补充。","面议"
"欧盟集运专线（空运、卡航、铁路、海运）","服务","Vizcaya","","请商家认领后补充联系方式","平台代登记商家信息，商家待认领。服务范围：欧盟集运专线（空运、卡航、铁路、海运）。具体联系方式、营业时间和详细介绍请商家认领后补充。","面议"
"马德里正规专业按摩推拿针灸理疗3.2","服务","Madrid","C. Nueva, 16 Las Rozas de Madrid","请商家认领后补充联系方式","平台代登记商家信息，商家待认领。服务范围：马德里正规专业按摩推拿针灸理疗3.2。具体联系方式、营业时间和详细介绍请商家认领后补充。","面议"
"verifactu西班牙收银电脑CAJA 无月费，无年费 一次性买断。","生意","Barcelona","","请商家认领后补充联系方式","平台代登记商家信息，商家待认领。服务范围：verifactu西班牙收银电脑CAJA 无月费，无年费 一次性买断。。具体联系方式、营业时间和详细介绍请商家认领后补充。","面议"
"马德里正规专业按摩推拿针灸理疗2.26","服务","Madrid","C. Nueva, 16 Las Rozas de Madrid","请商家认领后补充联系方式","平台代登记商家信息，商家待认领。服务范围：马德里正规专业按摩推拿针灸理疗2.26。具体联系方式、营业时间和详细介绍请商家认领后补充。","面议"
"马德里正规专业按摩推拿针灸理疗2.23","服务","Madrid","C. Nueva, 16 Las Rozas de Madrid","请商家认领后补充联系方式","平台代登记商家信息，商家待认领。服务范围：马德里正规专业按摩推拿针灸理疗2.23。具体联系方式、营业时间和详细介绍请商家认领后补充。","面议"
"西班牙最靠谱税控合规系统","生意","Barcelona","","请商家认领后补充联系方式","平台代登记商家信息，商家待认领。服务范围：西班牙最靠谱税控合规系统。具体联系方式、营业时间和详细介绍请商家认领后补充。","面议"
"监控安装系统","生意","Madrid","","请商家认领后补充联系方式","平台代登记商家信息，商家待认领。服务范围：监控安装系统。具体联系方式、营业时间和详细介绍请商家认领后补充。","面议"
"广告印刷全西班牙包邮!餐垫纸、名片、宣传单等","生意","Madrid","","请商家认领后补充联系方式","平台代登记商家信息，商家待认领。服务范围：广告印刷全西班牙包邮!餐垫纸、名片、宣传单等。具体联系方式、营业时间和详细介绍请商家认领后补充。","面议"
"广告印刷全西班牙包邮，马德里，巴塞罗那，瓦伦西亚等","生意","Madrid","","请商家认领后补充联系方式","平台代登记商家信息，商家待认领。服务范围：广告印刷全西班牙包邮，马德里，巴塞罗那，瓦伦西亚等。具体联系方式、营业时间和详细介绍请商家认领后补充。","面议"
"手机平板维修","服务","Madrid","","请商家认领后补充联系方式","平台代登记商家信息，商家待认领。服务范围：手机平板维修。具体联系方式、营业时间和详细介绍请商家认领后补充。","面议"
"verifactu正版收银软件电脑CAJA 无年费，无年费 一次性买断。","生意","Barcelona","","请商家认领后补充联系方式","平台代登记商家信息，商家待认领。服务范围：verifactu正版收银软件电脑CAJA 无年费，无年费 一次性买断。。具体联系方式、营业时间和详细介绍请商家认领后补充。","面议"
"瓦伦袋子工厂定制","生意","Valencia","","请商家认领后补充联系方式","平台代登记商家信息，商家待认领。服务范围：瓦伦袋子工厂定制。具体联系方式、营业时间和详细介绍请商家认领后补充。","面议"
"马德里陪同翻译","服务","Madrid","","请商家认领后补充联系方式","平台代登记商家信息，商家待认领。服务范围：马德里陪同翻译。具体联系方式、营业时间和详细介绍请商家认领后补充。","面议"
"绿洲新能源：太阳能、光伏、储能、充电桩、LED显示屏、电费单优化、等一站式服务","服务","Madrid","","请商家认领后补充联系方式","平台代登记商家信息，商家待认领。服务范围：绿洲新能源：太阳能、光伏、储能、充电桩、LED显示屏、电费单优化、等一站式服务。具体联系方式、营业时间和详细介绍请商家认领后补充。","面议"
"西班牙马德里驾照补分课程","教育","Madrid","","请商家认领后补充联系方式","平台代登记商家信息，商家待认领。服务范围：西班牙马德里驾照补分课程。具体联系方式、营业时间和详细介绍请商家认领后补充。","面议"
