title,category,city,address,contact,description,price,source,source_url
"蓝宝石旅行社","服务","Barcelona","C/ SARDENYA 332, 08025 BARCELONA","611791109","平台代登记商家信息，商家待认领。服务范围：全球机票，全球酒店，全球邮轮。资料线索来自公开黄页 soufun.es，具体营业时间、联系方式和详细介绍请商家认领后补充。","面议","soufun.es","https://www.soufun.es/114_478.html"
"¡Hola Lemón!柠好","服务","Barcelona","C/ de Balmes, 65, L'Eixample, 08007 Barcelona","请商家认领后补充联系方式","平台代登记商家信息，商家待认领。服务范围：柠檬茶，奶茶，鸡尾酒。资料线索来自公开黄页 soufun.es，具体营业时间、联系方式和详细介绍请商家认领后补充。","面议","soufun.es","https://www.soufun.es/114_452.html"
"巴塞莉莉西点Lily Cake","服务","Barcelona","Carrer de Bruc, 34, Barcelona","请商家认领后补充联系方式","平台代登记商家信息，商家待认领。服务范围：日常甜品、生日蛋糕、中式点心、甜品台，同时提供送货服务。资料线索来自公开黄页 soufun.es，具体营业时间、联系方式和详细介绍请商家认领后补充。","面议","soufun.es","https://www.soufun.es/114_450.html"
"中华面馆","服务","Barcelona","C/ de Mallorca 450,Barcelona","请商家认领后补充联系方式","平台代登记商家信息，商家待认领。服务范围：港式面馆。资料线索来自公开黄页 soufun.es，具体营业时间、联系方式和详细介绍请商家认领后补充。","面议","soufun.es","https://www.soufun.es/114_449.html"
"甜品店","服务","Barcelona","C. de Mar, 101, 08911 Badalona, Barcelona,","33755531565","平台代登记商家信息，商家待认领。服务范围：F62X+HJ 巴达洛纳 西班牙。资料线索来自公开黄页 soufun.es，具体营业时间、联系方式和详细介绍请商家认领后补充。","面议","soufun.es","https://www.soufun.es/114_444.html"
"斑斓熊奶茶","服务","Barcelona","Carrer de la Marina, 269, L'Eixample, 08025 Barcelona","608527818","平台代登记商家信息，商家待认领。服务范围：斑斓熊奶茶。资料线索来自公开黄页 soufun.es，具体营业时间、联系方式和详细介绍请商家认领后补充。","面议","soufun.es","https://www.soufun.es/114_424.html"
"巴塞嗨锅 Hi hot pot","服务","Barcelona","Gran Via de les Corts Catalanes, 408, 08015 Barcelona","646136954","平台代登记商家信息，商家待认领。服务范围：巴塞嗨锅。资料线索来自公开黄页 soufun.es，具体营业时间、联系方式和详细介绍请商家认领后补充。","面议","soufun.es","https://www.soufun.es/114_423.html"
"小洋哥砂锅麻辣烫","服务","Barcelona","C/ del Rosselló, 400, L'Eixample, 08025 Barcelona","934997174","平台代登记商家信息，商家待认领。服务范围：小洋哥砂锅麻辣烫。资料线索来自公开黄页 soufun.es，具体营业时间、联系方式和详细介绍请商家认领后补充。","面议","soufun.es","https://www.soufun.es/114_422.html"
"Zhang Liang Hot Pot BCN 张亮麻辣烫","服务","Barcelona","Gran Via de les Corts Catalanes, 734, L'Eixample, 08013 Barcelona","613247149","平台代登记商家信息，商家待认领。服务范围：张亮麻辣烫。资料线索来自公开黄页 soufun.es，具体营业时间、联系方式和详细介绍请商家认领后补充。","面议","soufun.es","https://www.soufun.es/114_421.html"
"Sr. Han - Spicy Hot Pot 韩先生麻辣烫","服务","Barcelona","C/ de la Diputació, 178, local 2, Eixample, 08011 Barcelona","685827167","平台代登记商家信息，商家待认领。服务范围：韩先生麻辣烫。资料线索来自公开黄页 soufun.es，具体营业时间、联系方式和详细介绍请商家认领后补充。","面议","soufun.es","https://www.soufun.es/114_420.html"
"秀海福麻辣烫showhotpot","服务","Barcelona","C/ de Lepant, 322, L'Eixample, 08025 Barcelona","677619020","平台代登记商家信息，商家待认领。服务范围：秀海福麻辣烫。资料线索来自公开黄页 soufun.es，具体营业时间、联系方式和详细介绍请商家认领后补充。","面议","soufun.es","https://www.soufun.es/114_419.html"
"YGF Malatang Spicy Hot Pot 杨国福麻辣烫","服务","Barcelona","Gran Via de les Corts Catalanes, 732, L'Eixample, 08013 Barcelona","930290020","平台代登记商家信息，商家待认领。服务范围：杨国福麻辣烫。资料线索来自公开黄页 soufun.es，具体营业时间、联系方式和详细介绍请商家认领后补充。","面议","soufun.es","https://www.soufun.es/114_418.html"
