title,category,city,address,contact,description,price,source,source_url
"四维数码印象","生意","Valencia","Calle Julio Antonio,No.12,Bajo dch.46007,Valencia","961132785","平台代登记商家信息，商家待认领。服务范围：广告公司。资料线索来自公开黄页 soufun.es，具体营业时间、联系方式和详细介绍请商家认领后补充。","面议","soufun.es","https://www.soufun.es/114_265.html"
"先锋广告公司","生意","Valencia","C/ Doctor Fleming 19 ，Alaquas，VALENCIA","617200989","平台代登记商家信息，商家待认领。服务范围：广告公司。资料线索来自公开黄页 soufun.es，具体营业时间、联系方式和详细介绍请商家认领后补充。","面议","soufun.es","https://www.soufun.es/114_264.html"
"飞扬广告公司","生意","Valencia","Calle de la Marina, 8, 46970 Alaquàs, Valencia","698275275","平台代登记商家信息，商家待认领。服务范围：广告公司。资料线索来自公开黄页 soufun.es，具体营业时间、联系方式和详细介绍请商家认领后补充。","面议","soufun.es","https://www.soufun.es/114_263.html"
"Valencia 小出租","服务","Valencia","Valencia","961504769","平台代登记商家信息，商家待认领。服务范围：Valencia 小出租。资料线索来自公开黄页 soufun.es，具体营业时间、联系方式和详细介绍请商家认领后补充。","面议","soufun.es","https://www.soufun.es/114_260.html"
"瓦伦西亚华人出租车","服务","Valencia","瓦伦西亚","688483905","平台代登记商家信息，商家待认领。服务范围：瓦伦西亚华人出租车，服务接送机，旅游包车，搬家业务，丰田商务8座车，刚买的新车。资料线索来自公开黄页 soufun.es，具体营业时间、联系方式和详细介绍请商家认领后补充。","面议","soufun.es","https://www.soufun.es/114_258.html"
"瓦伦西亚乐途出租","服务","Valencia","瓦伦西亚","671120633","平台代登记商家信息，商家待认领。服务范围：去哪儿？别忘记叫上乐途出租让乐途的方向盘成就你旅行梦想的翅膀。资料线索来自公开黄页 soufun.es，具体营业时间、联系方式和详细介绍请商家认领后补充。","面议","soufun.es","https://www.soufun.es/114_257.html"
"瓦伦西亚至信置业有限公司","生意","Valencia","Calle Xativa 1B-Esc.ENT-460002 Valencia","963112908","平台代登记商家信息，商家待认领。服务范围：至信置业，房屋中介。资料线索来自公开黄页 soufun.es，具体营业时间、联系方式和详细介绍请商家认领后补充。","面议","soufun.es","https://www.soufun.es/114_254.html"
"PEPE中文驾驶学校","教育","Valencia","Carrer Benissuai, 9, 46701, Valencia","692932882","平台代登记商家信息，商家待认领。服务范围：PEPE中文驾驶学校。资料线索来自公开黄页 soufun.es，具体营业时间、联系方式和详细介绍请商家认领后补充。","面议","soufun.es","https://www.soufun.es/114_253.html"
"瓦伦西亚中文驾驶学校","教育","Valencia","Carrer de Pelai, 62, 46007, València, Valencia","963819136","平台代登记商家信息，商家待认领。服务范围：中文驾驶学校。资料线索来自公开黄页 soufun.es，具体营业时间、联系方式和详细介绍请商家认领后补充。","面议","soufun.es","https://www.soufun.es/114_252.html"
"新中华货行","生意","Valencia","Carrer del Convent de Jerusalem, 12, 46007 València, Valencia","34615516339","平台代登记商家信息，商家待认领。服务范围：中国超市，货行，南货店，日韩调料, 食品批发，零食小吃，中国蔬菜。资料线索来自公开黄页 soufun.es，具体营业时间、联系方式和详细介绍请商家认领后补充。","面议","soufun.es","https://www.soufun.es/114_251.html"
"永利商场","生意","Valencia","Carrer del Convent de Jerusalem, 18, 46007 València, Valencia","+34963515541","平台代登记商家信息，商家待认领。服务范围：中国超市，货行，南货店，日韩调料, 食品批发，零食小吃，中国蔬菜。资料线索来自公开黄页 soufun.es，具体营业时间、联系方式和详细介绍请商家认领后补充。","面议","soufun.es","https://www.soufun.es/114_250.html"
"天天商场","生意","Valencia","Carrer del Convent de Jerusalem, n 27, bajo, 46007 Valencia","+34963224958","平台代登记商家信息，商家待认领。服务范围：中国超市，货行，南货店，日韩调料, 食品批发，零食小吃，中国蔬菜。资料线索来自公开黄页 soufun.es，具体营业时间、联系方式和详细介绍请商家认领后补充。","面议","soufun.es","https://www.soufun.es/114_249.html"
"远东行","服务","Valencia","Carrer de Pelai, 30, 46007 València, Valencia","34963416662","平台代登记商家信息，商家待认领。服务范围：我们的产品直接从泰国、中国、韩国、新加坡、越南、日本、印度尼西亚、马来西亚和苏里南进口。确保产品新鲜是我们的首要任务，像大米、蔬菜和水果等农产品我们直接从农业领域进口，且每周都有来自泰国、中国和苏里南的新鲜蔬菜和特色水果到货。。资料线索来自公开黄页 soufun.es，具体营业时间、联系方式和详细介绍请商家认领后补充。","面议","soufun.es","https://www.soufun.es/114_248.html"
