title,category,city,address,contact,description,price,source,source_url
"马德里金凯利家纺","生意","Madrid","Calle Valdeón, 38, Fuenlabrada, Madrid","电话: +34 916420370 / +34 692939613；邮箱: victolin@qq.com","平台代登记商家信息，商家待认领。WeInfo 公开信息显示：马德里小商品批发、西班牙小商品批发、马德里小商品仓库、马德里家纺批发、马德里家纺仓库。","面议","WeInfo Fuenlabrada warehouse page 47","https://weinfo.com/listings/%e9%87%91%e5%87%af%e5%88%a9%e5%ae%b6%e7%ba%ba/"
"马德里辉泰袜业","生意","Madrid","Calle Valdeón, 38 Local 22, Fuenlabrada, Madrid","电话: +34 916420249 / +34 688093068；WhatsApp: 688196136","平台代登记商家信息，商家待认领。WeInfo 公开信息显示：HT，马德里小商品批发、西班牙小商品批发、马德里小商品仓库。","面议","WeInfo Fuenlabrada warehouse page 47","https://weinfo.com/listings/hui-tai-import-export-s-l/"
"马德里欧丰贸易","生意","Madrid","Calle Valdeón, 38 Local 27, 28947 Fuenlabrada, Madrid","电话: +34 910390207 / +34 686958687 / +34 686958686；邮箱: of.s.l@hotmail.com","平台代登记商家信息，商家待认领。WeInfo 公开信息显示：马德里小商品批发、西班牙小商品批发、马德里小商品仓库。","面议","WeInfo Fuenlabrada warehouse page 47","https://weinfo.com/listings/onfeng/"
"马德里安凯尔饰品","生意","Madrid","Calle Bembibre, 10, 28947 Fuenlabrada, Madrid","电话: +34 916423107 / +34 620203333 / +34 676977786；邮箱: ankel2007@163.com","平台代登记商家信息，商家待认领。WeInfo 公开信息显示：小商品批发、饰品批发，主营围巾、手套、室内拖鞋、帽子、饰品等。","面议","WeInfo Fuenlabrada warehouse page 47","https://weinfo.com/listings/%e5%ae%89%e5%87%af%e5%b0%94%e9%a5%b0%e5%93%81/"
"西班牙华大贸易有限公司","生意","Madrid","C/: Manuel Cobo Calleja 32 / Calle Valdeón 38, 28947 Fuenlabrada, Madrid","电话: +34 916421081 / +34 916423279；邮箱: grandesarrolloie@yahoo.com.cn","平台代登记商家信息，商家待认领。WeInfo 公开信息显示：马德里家用小商品批发仓库、Fuenlabrada 小商品批发仓库、西班牙小商品批发仓库。","面议","WeInfo Fuenlabrada warehouse page 47","https://weinfo.com/listings/%e8%a5%bf%e7%8f%ad%e7%89%99%e5%8d%8e%e5%a4%a7%e8%b4%b8%e6%98%93%e6%9c%89%e9%99%90%e5%85%ac%e5%8f%b8/"
"马德里Super Lucky Import Export S.L.","生意","Madrid","Calle Bembibre, 4, Fuenlabrada, Madrid","电话: +34 916422118","平台代登记商家信息，商家待认领。WeInfo 公开信息显示：马德里小商品批发、西班牙小商品批发、马德里小商品仓库。","面议","WeInfo Fuenlabrada warehouse page 47","https://weinfo.com/listings/super-lucky-import-export-s-l-1/"
"马德里卓越外贸有限公司","生意","Madrid","Calle Bembibre, 4, Fuenlabrada, Madrid","电话: +34 916420872 / +34 606944020；邮箱: shuzi0109@163.com","平台代登记商家信息，商家待认领。WeInfo 公开信息显示：马德里小商品批发、马德里小商品商场、西班牙小商品批发。","面议","WeInfo Fuenlabrada warehouse page 47","https://weinfo.com/listings/%e5%8d%93%e8%b6%8a%e5%a4%96%e8%b4%b8%e6%9c%89%e9%99%90%e5%85%ac%e5%8f%b8/"
"马德里亚星贸易有限公司 ESTRELLA DE ASIA ZHENG S.L.","生意","Madrid","Calle Bembibre, 4, Fuenlabrada, Madrid","电话: +34 916420993 / +34 665410096 / +34 618618618；邮箱: estrelladeasia@sina.com","平台代登记商家信息，商家待认领。WeInfo 公开信息显示：马德里小商品批发、西班牙 Fuenlabrada 小商品批发。","面议","WeInfo Fuenlabrada warehouse page 47","https://weinfo.com/listings/%e4%ba%9a%e6%98%9f%e8%b4%b8%e6%98%93%e6%9c%89%e9%99%90%e5%85%ac%e5%8f%b8-estrella-de-asia-zheng-s-l/"
"马德里PIEDRA MAGIC S.L.","生意","Madrid","Calle Bembibre, 4 Local 10, Fuenlabrada, Madrid","电话: +34 677588067 / +34 677465911","平台代登记商家信息，商家待认领。WeInfo 公开信息显示：马德里小商品批发、马德里小商品商场、西班牙小商品批发。","面议","WeInfo Fuenlabrada warehouse page 47","https://weinfo.com/listings/piedra-magic/"
"千奇坊 SMART SET 2006","生意","Madrid","Calle Bembibre, 4, Fuenlabrada, Madrid；Calle la Naval, 82, 35008 Las Palmas de Gran Canaria","电话: +34 916422517","平台代登记商家信息，商家待认领。WeInfo 公开信息显示：节日用品批发、节日服装批发、圣诞产品批发，马德里节日用品仓库。","面议","WeInfo Fuenlabrada warehouse page 47","https://weinfo.com/listings/%e5%8d%83%e5%a5%87%e5%9d%8a-smartset-2006-fuenlabrada/"
