title,category,city,address,contact,description,price,source,source_url
"europa clipasar import export s l","生意","Madrid","calle villabrino 27","电话: 676704126","平台代登记商家信息，商家待认领。公开信息显示为马德里百货/小商品批发供应商，适合百元店货源对接。资料来自西班牙同城网百货贸易公开页面。","面议","xbyhr.com M57S774 page 2","https://www.xbyhr.com/S322128.html"
"Grupo Percorin Decoracion S.L","生意","Madrid","C/bierzo 29","电话: 691137626","平台代登记商家信息，商家待认领。公开信息显示为马德里百货/装饰类批发供应商，适合百元店货源对接。资料来自西班牙同城网百货贸易公开页面。","面议","xbyhr.com M57S774 page 2","https://www.xbyhr.com/S322126.html"
"东升贸易","生意","Madrid","c/tortola 10-12, pol. IND LOS GALLEGOS 28946 FUENLABRADA MADRID","电话: 910090253","平台代登记商家信息，商家待认领。公开信息显示为 Fuenlabrada 仓库区百货贸易商，适合百元店货源对接。资料来自西班牙同城网百货贸易公开页面。","面议","xbyhr.com M57S774 page 2","https://www.xbyhr.com/S322124.html"
"百恝得百货贸易批发","生意","Madrid","Fuenlabrada 28947 Madrid, Calle Beneza 102, Pol. Ind. Cobo Calleja","电话: 688270774","平台代登记商家信息，商家待认领。公开信息显示为 Cobo Calleja 百货贸易批发商，适合百元店货源对接。资料来自西班牙同城网百货贸易公开页面。","面议","xbyhr.com M57S774 page 2","https://www.xbyhr.com/S322123.html"
"国贸城集团","生意","Madrid","C/ VILLAFRANCA DEL BIERZO, 40","电话: 916424388","平台代登记商家信息，商家待认领。公开信息显示为马德里百货贸易供应商，适合百元店货源对接。资料来自西班牙同城网百货贸易公开页面。","面议","xbyhr.com M57S774 page 2","https://www.xbyhr.com/S322001.html"
"Y.Z.AMIGO文具批发公司","生意","Madrid","C/REAL, 54 PORTAL 4, 1-2","电话: 918844867","平台代登记商家信息，商家待认领。公开信息显示为文具批发公司，适合文具店、百元店货源对接。资料来自西班牙同城网百货贸易公开页面。","面议","xbyhr.com M57S774 page 2","https://www.xbyhr.com/S322000.html"
"长虹节日用品批发仓库","生意","Fuenlabrada","calle riano 3-5 Fuenlabrada Madrid","电话: 916422491 / 916422670 / 688098122；邮箱: shawnlau@163.com；微信: 688098122","平台代登记商家信息，商家待认领。公开信息显示主营节日服饰、配饰、帽子、装饰用品等批发货源，适合百元店和节庆用品店对接。资料来自西班牙同城网百货贸易公开页面。","面议","xbyhr.com M57S774 page 2","https://www.xbyhr.com/S321999.html"
"飞翔国际","生意","Fuenlabrada","Calle bembibre 4 local 15, Cobo Calleja, Fuenlabrada, Madrid","电话: 916423369；邮箱: johnyruan@qq.com","平台代登记商家信息，商家待认领。公开信息显示主营耳机、手机/电脑配件、车载 MP3 等电子配件货源，适合百元店和电子店对接。资料来自西班牙同城网百货贸易公开页面。","面议","xbyhr.com M57S774 page 2","https://www.xbyhr.com/S321998.html"
"EXTRASTAR","生意","Madrid","Calle Gran Bretaña, 17, Pol. Ind. La Estación, 28971 Griñón","电话: 916421743；邮箱: extrastar@imporiental.com；微信: extrastar916421743","平台代登记商家信息，商家待认领。公开信息显示主营电池、电工、节能照明及手机周边等品牌产品货源。资料来自西班牙同城网百货贸易公开页面。","面议","xbyhr.com M57S774 page 2","https://www.xbyhr.com/S321997.html"
"盛和文具","生意","Toledo","C/CUARZO, 45-47, YELES, 45220, TOLEDO","电话: 925521750；邮箱: starplast034@hotmail.com","平台代登记商家信息，商家待认领。公开信息显示主营文具、办公用品、学生用品和手工用品批发货源。资料来自西班牙同城网百货贸易公开页面。","面议","xbyhr.com M57S774 page 2","https://www.xbyhr.com/S321996.html"
"宏达贸易集团","生意","Fuenlabrada","Calle la Bañeza, 12, 28947 Fuenlabrada, Madrid","电话: 916214260 / 659123310","平台代登记商家信息，商家待认领。公开信息显示为 Fuenlabrada 百货贸易集团，适合百元店货源对接。资料来自西班牙同城网百货贸易公开页面。","面议","xbyhr.com M57S774 page 2","https://www.xbyhr.com/S321995.html"
"华达贸易公司","生意","Fuenlabrada","Calle Bembibre, 4, 28947 Fuenlabrada, España","电话: 916421477","平台代登记商家信息，商家待认领。公开信息显示主营狗窝、橡皮泥、布艺花等百货产品，面向欧洲仓库和百元店批发。资料来自西班牙同城网百货贸易公开页面。","面议","xbyhr.com M57S774 page 2","https://www.xbyhr.com/S321994.html"
"奔腾贸易有限公司","生意","Fuenlabrada","Calle de Manuel Cobo Calleja, 22, 28947 Fuenlabrada, Madrid","电话: 916421757 / 633278881","平台代登记商家信息，商家待认领。公开信息显示主营毛线、塑料花、拉链、鞋带、小商品、枕头等百货货源。资料来自西班牙同城网百货贸易公开页面。","面议","xbyhr.com M57S774 page 2","https://www.xbyhr.com/S321993.html"
"西班牙百货城","生意","Fuenlabrada","Calle Matarrosa, 14, 28947 Fuenlabrada, Madrid, España","电话: 916421303 / 618330422；邮箱: esonsl@hotmail.com；微信: wxid_l5mdztflgu3b22","平台代登记商家信息，商家待认领。公开信息显示为 Fuenlabrada 百货批发商，适合百元店货源对接。资料来自西班牙同城网百货贸易公开页面。","面议","xbyhr.com M57S774 page 2","https://www.xbyhr.com/S321992.html"
"西班牙威力商贸(集团)有限公司","生意","Fuenlabrada","Calle murias 7, Fuenlabrada, España","电话: 916422954","平台代登记商家信息，商家待认领。公开信息显示主营蜡烛、烛台、工艺品、礼品、玩具和日用品等批发货源。资料来自西班牙同城网百货贸易公开页面。","面议","xbyhr.com M57S774 page 2","https://www.xbyhr.com/S321989.html"
"远东工贸集团","生意","Madrid","Calle Gran Bretaña, 17, 28971 Griñón, Madrid, España","电话: 916421743 / 918141632；邮箱: extrastar@imporiental.com；网站: http://www.extrastar.es","平台代登记商家信息，商家待认领。公开信息显示主营 EXTRASTAR 品牌电池、电工、节能照明等货源。资料来自西班牙同城网百货贸易公开页面。","面议","xbyhr.com M57S774 page 2","https://www.xbyhr.com/S321988.html"
"KDEgrupo(康迪尔集团）","生意","Toledo","Calle Cobre, 12, 45520 Villaluenga de la Sagra, España","电话: 916421009 / 925530072；邮箱: 1306430911@qq.com / kdegrupo@kdegrupo.com；网站: http://kdegrupo.com","平台代登记商家信息，商家待认领。公开信息显示主营照明、电工配件、商业照明和整体照明解决方案等货源。资料来自西班牙同城网百货贸易公开页面。","面议","xbyhr.com M57S774 page 2","https://www.xbyhr.com/S321987.html"
"阳光宝贝","生意","Fuenlabrada","Calle rio ebro, 9, 28947 Fuenlabrada, Madrid","电话: 622559110","平台代登记商家信息，商家待认领。公开信息显示主营婴儿推车、安全座椅、高脚椅、婴儿床和玩具等母婴用品货源。资料来自西班牙同城网百货贸易公开页面。","面议","xbyhr.com M57S774 page 2","https://www.xbyhr.com/S321985.html"
"西班牙中汇集团","生意","Fuenlabrada","Calle León, 15, 28947 Fuenlabrada, Madrid, España","电话: 918936681 / 916420171 / 918012292；邮箱: info@mpapel.com；网站: http://www.mpapel.com","平台代登记商家信息，商家待认领。公开信息显示主营书写工具、学生文具、办公用品、装饰手工等文具货源。资料来自西班牙同城网百货贸易公开页面。","面议","xbyhr.com M57S774 page 2","https://www.xbyhr.com/S321982.html"
"华熊贸易","生意","Fuenlabrada","Calle Matarrosa 11, 28947 Fuenlabrada","请商家认领后补充联系方式","平台代登记商家信息，商家待认领。公开信息显示为 Cobo Calleja 大型百货批发市场，商品涵盖多类百货货源。资料来自西班牙同城网百货贸易公开页面。","面议","xbyhr.com M57S774 page 2","https://www.xbyhr.com/S321981.html"
